,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
300,marawi,PH,2019-09-25 16:02:01,8,124.29,3,85,77.26999999999995,2.24
301,chiang rai,TH,2019-09-25 16:04:05,19.9,99.84,0,94,70.06999999999996,1
302,hihifo,,,,,,,,
303,pacific grove,US,2019-09-25 15:57:13,36.62,-121.92,1,21,97.26799999999999,2.1
304,diego de almagro,CL,2019-09-25 16:04:05,-26.39,-70.05,48,50,58.26380000000002,3.08
305,chapais,CA,2019-09-25 16:04:06,49.78,-74.86,90,71,53.86999999999996,7.7
306,rungata,,,,,,,,
307,banepa,NP,2019-09-25 16:04:06,27.63,85.52,90,100,66.46999999999997,1
308,kosa,JP,2019-09-25 16:04:06,32.67,130.82,60,77,69.27799999999996,4.02
309,santa flavia,CL,2019-09-25 16:04:06,-51.55,-72.35,40,49,48.469999999999956,9.8
310,tuggurt,,,,,,,,
311,bouake,CI,2019-09-25 16:04:06,7.69,-5.02,52,91,73.72579999999996,1.75
312,coahuayana,MX,2019-09-25 16:04:07,18.62,-100.35,21,65,86.00179999999996,1.26
313,ballymena,GB,2019-09-25 16:04:07,54.87,-6.28,75,82,61.069999999999965,3.6
